,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,UTILITY_AVAIL,STREET,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,BUILDTYPE_Commercial,BUILDTYPE_House,BUILDTYPE_Others,MZZONE_A,MZZONE_C,MZZONE_I,MZZONE_RH,MZZONE_RL,MZZONE_RM,YEAR_BUILD,AGE_BUILD,Actual_price,Predicted_price,YEAR_SALE,YEARS_PASSED,Today_price
5502,7,1515,24,1,1,4,4,1,2,3,4.0,2.6,3.3,3.335,1,0,0,0,0,0,0,0,1,2000,10,20923189.99999999,20856100.0,2010,12,37454559
5385,3,897,126,1,1,3,5,0,1,1,2.5,4.7,4.6,4.01,0,1,0,0,0,0,0,1,0,2008,4,7955791.999999994,8058637.5,2012,10,13126671
1289,3,897,79,1,1,3,5,1,2,1,2.2,2.2,5.0,3.04,0,1,0,0,0,0,0,0,1,1973,35,9190652.000000015,9360199.0,2008,14,18532553
867,1,1685,56,2,2,4,1,1,3,2,2.3,3.7,3.8,3.32,0,0,1,0,0,1,0,0,0,2000,11,9384884.000000007,9289342.0,2011,11,15887927
5108,1,1068,171,1,1,3,2,0,1,2,4.2,3.3,4.2,3.93,0,0,1,0,0,0,0,1,0,1985,27,7452822.000000002,7619279.5,2012,10,12411003
3794,4,1978,20,3,2,5,1,1,3,1,4.5,3.3,2.7,3.42,0,0,1,0,0,0,0,1,0,1955,49,11277040.999999981,11214279.0,2004,18,26988499
2354,7,1917,16,2,1,5,3,0,1,2,2.9,3.3,2.4,2.775,0,0,1,0,0,0,0,1,0,1997,11,14740331.000000024,14721869.0,2008,14,29148293
5064,3,1038,163,1,1,3,5,0,2,3,2.9,2.8,3.6,3.07,0,1,0,0,0,0,0,0,1,1970,39,9841364.000000002,9984427.0,2009,13,18827126
941,1,1635,196,2,2,4,3,0,3,3,5.0,2.7,2.0,3.11,1,0,0,0,1,0,0,0,0,1967,44,11451832.000000004,10984650.0,2011,11,18787479
2040,5,1763,175,2,1,4,2,1,2,3,4.7,3.5,4.6,4.3,1,0,0,0,0,0,1,0,0,1990,22,16080372.999999993,15971632.0,2012,10,26016105
1791,3,830,191,1,1,3,2,1,3,1,3.9,2.3,3.1,3.02,1,0,0,0,0,0,0,1,0,1991,23,11380074.999999983,11293959.0,2014,8,16686321
1373,5,1329,44,1,1,3,3,1,2,2,4.4,4.3,2.4,3.57,0,0,1,0,0,0,0,1,0,1992,19,10568976.000000017,10361409.0,2011,11,17721525
3501,1,1474,144,2,2,4,2,0,3,3,2.8,3.6,2.1,2.76,0,0,1,0,0,1,0,0,0,1984,25,8013223.0,8093041.0,2009,13,15260635
3705,6,1922,160,2,1,5,4,0,1,3,2.9,2.5,3.6,3.08,1,0,0,0,0,0,0,1,0,1985,24,21971569.999999966,22242996.0,2009,13,41942486
4402,5,1778,91,3,2,5,2,1,3,3,4.9,4.6,3.2,4.13,0,1,0,0,0,0,0,1,0,2002,7,11959968.000000011,11834522.0,2009,13,22315756
6991,1,1419,115,2,2,4,5,0,3,2,4.6,3.4,4.6,4.24,0,0,1,0,0,0,0,1,0,1993,17,9192031.999999996,9228257.0,2010,12,16572623
3808,2,753,22,1,1,2,5,1,2,1,4.3,2.1,3.9,3.66,0,1,0,1,0,0,0,0,0,1980,29,5979913.999999997,5933578.0,2009,13,11188646
3809,5,1952,9,3,2,5,1,1,3,3,3.4,2.9,2.5,2.89,0,1,0,0,0,0,0,1,0,1993,19,11695280.000000007,11964093.0,2012,10,19488246
4396,3,741,156,1,1,2,2,1,1,2,2.0,2.9,2.0,2.36,0,0,1,0,0,0,0,1,0,1985,28,8249096.999999997,8275667.5,2013,9,12838276
324,7,1538,161,1,1,4,2,1,3,3,4.1,3.5,3.8,3.815,1,0,0,0,0,0,0,1,0,2004,5,20423304.999999978,19992910.0,2009,13,37699613
2165,4,1850,114,3,2,5,1,1,3,1,4.2,3.3,2.0,3.14,1,0,0,0,0,0,0,0,1,1970,37,16581158.999999996,16734870.0,2007,15,34790592
1703,6,1734,86,1,1,4,3,0,1,1,3.1,4.9,2.3,3.23,0,1,0,0,0,0,1,0,0,1990,24,11106439.999999985,11162763.0,2014,8,16492484
906,5,1653,27,2,1,4,4,1,3,2,4.7,3.5,4.1,4.1,0,0,1,0,0,0,0,1,0,2004,5,11873680.0,11771084.0,2009,13,22196134
4746,7,1908,123,2,1,5,5,0,2,3,2.5,2.8,2.2,2.44,0,0,1,0,0,0,0,1,0,2001,8,15888288.000000002,16023687.0,2009,13,30215051
3847,3,1053,195,1,1,3,2,1,3,1,5.0,4.7,3.5,4.43,0,0,1,0,0,0,0,0,1,2010,4,10502150.0,10392325.0,2014,8,15354197
6252,3,736,143,1,1,2,3,0,3,3,4.7,3.3,2.0,3.33,1,0,0,0,0,0,1,0,0,1985,28,9831895.000000017,10045438.0,2013,9,15583771
5754,4,1744,55,2,1,4,3,0,3,1,4.4,4.8,4.5,4.61,1,0,0,0,0,0,0,0,1,2000,7,15997213.999999976,15842927.0,2007,15,32936307
1817,1,1376,181,2,2,4,5,0,3,1,2.4,2.8,5.0,3.56,0,1,0,0,0,0,0,0,1,1993,19,8591565.000000007,8549977.0,2012,10,13927011
1651,1,1478,71,2,2,4,4,0,1,1,4.9,4.9,4.6,4.78,0,1,0,1,0,0,0,0,0,1960,49,4703982.000000003,4911393.5,2009,13,9261164
5868,3,862,150,1,1,3,3,0,3,1,4.7,2.9,5.0,4.07,0,0,1,0,0,0,0,1,0,1975,39,7460507.000000006,7417397.5,2014,8,10958874
2746,3,844,43,1,1,3,3,1,3,2,2.8,4.7,4.2,3.98,0,1,0,0,0,0,1,0,0,1999,13,8211613.0000000065,8445710.0,2012,10,13757171
2565,5,2447,77,4,2,6,5,0,2,2,4.9,4.8,3.8,4.43,0,1,0,0,0,0,1,0,0,2005,7,12589183.000000015,12159456.0,2012,10,19806472
5855,3,1196,13,1,1,3,1,0,3,2,3.6,3.2,4.8,3.8,1,0,0,0,0,0,1,0,0,1997,10,13221861.999999993,12731534.0,2007,15,26467944
2606,3,1253,36,2,1,4,4,1,2,2,4.8,2.6,3.4,3.5,1,0,0,0,0,0,0,0,1,1999,13,16358800.000000024,16472529.0,2012,10,26832013
5082,2,658,67,1,1,2,1,0,1,2,2.1,5.0,4.4,3.83,0,1,0,0,1,0,0,0,0,1995,12,5161202.000000004,5445762.5,2007,15,11321349
4825,4,1900,180,3,2,5,4,0,1,1,2.4,4.8,2.9,3.63,0,1,0,0,0,0,0,0,1,1988,21,10403223.00000001,10469139.0,2009,13,19741122
767,3,762,149,1,1,2,2,0,2,1,2.0,4.1,3.5,3.29,0,0,1,0,0,0,1,0,0,1970,40,6222559.999999994,6304351.5,2010,12,11321709
2641,7,1778,125,1,1,4,5,0,3,3,3.3,2.0,3.8,3.2,0,0,1,0,0,0,1,0,0,1999,15,14388962.999999981,14814966.0,2014,8,21888452
5593,4,1767,26,2,1,4,1,1,3,3,4.9,4.8,3.0,4.29,0,1,0,0,0,0,1,0,0,1959,48,10135767.000000011,10257370.0,2007,15,21324335
3571,4,1711,148,2,1,4,3,0,2,3,4.2,2.7,3.8,3.41,1,0,0,0,0,0,1,0,0,1985,26,15143499.999999989,14892111.0,2011,11,25470563
6639,3,787,57,1,1,2,5,0,2,1,3.8,3.3,3.8,3.6,1,0,0,0,0,0,0,1,0,1986,23,10320510.000000011,9996012.0,2009,13,18848971
288,2,901,106,1,1,3,1,0,2,3,4.6,4.8,4.6,4.64,0,0,1,0,0,1,0,0,0,1969,37,7994845.0,7700048.0,2006,16,16808239
7010,4,1514,73,2,1,4,4,1,3,2,2.6,5.0,2.7,3.71,0,1,0,1,0,0,0,0,0,1984,26,7935888.000000006,8155909.0,2010,12,14646840
6802,3,1275,138,2,1,4,3,1,3,2,3.2,2.6,2.0,2.6,1,0,0,0,0,0,1,0,0,1971,35,14771816.999999983,14484757.0,2006,16,31618407
5459,3,1216,144,2,1,4,2,0,1,3,2.5,2.1,2.7,2.4,1,0,0,0,0,0,0,1,0,1977,35,14035223.999999981,14108606.0,2012,10,22981432
4534,2,694,125,1,1,2,3,1,3,3,3.6,3.7,4.5,4.07,0,0,1,1,0,0,0,0,0,1995,15,7076200.000000005,7048442.5,2010,12,12657990
5398,5,1351,192,2,1,4,4,1,3,3,4.1,3.7,3.7,3.82,0,1,0,0,0,0,1,0,0,1989,19,9804093.999999989,9677589.0,2008,14,19160964
4168,4,1781,30,2,1,4,3,0,2,2,2.9,2.8,4.8,3.43,0,1,0,0,0,0,0,0,1,1968,38,10631324.000000011,10710296.0,2006,16,23379232
186,2,738,69,1,1,2,1,0,3,1,2.4,4.7,5.0,3.5032537884152344,1,0,0,0,0,1,0,0,0,1989,18,8645177.000000002,8634318.0,2007,15,17950127
4100,3,1138,23,1,1,3,3,1,3,3,2.6,4.2,2.0,3.06,1,0,0,0,0,0,1,0,0,1991,15,14394494.99999999,14473821.0,2006,16,31594536
231,6,1700,135,1,1,4,4,1,3,1,4.3,2.7,2.4,3.14,0,0,1,0,0,0,1,0,0,1977,32,13075938.0,13086486.0,2009,13,24676521
7013,4,1503,110,2,1,4,2,0,3,1,4.1,4.1,3.5,3.92,0,1,0,1,0,0,0,0,0,2000,8,6247826.000000001,6576101.5,2008,14,13020231
6320,1,1105,137,1,1,3,5,1,2,1,2.6,4.1,3.9,3.57,1,0,0,0,0,1,0,0,0,1966,45,9312093.000000002,9316543.0,2011,11,15934450
2445,1,1252,37,1,1,3,3,1,3,3,3.1,2.9,3.2,3.08,0,1,0,1,0,0,0,0,0,1995,17,6739076.000000003,6836785.5,2012,10,11136403
6909,4,1754,9,2,1,4,3,1,1,2,2.4,3.8,3.2,3.27,1,0,0,0,0,1,0,0,0,1981,30,15047171.000000013,15071851.0,2011,11,25777979
4069,3,1144,131,1,1,3,2,0,3,3,3.9,4.3,3.2,3.85,0,0,1,0,0,0,0,1,0,1974,38,9761742.000000006,9797643.0,2012,10,15959328
5872,5,2178,57,3,2,5,1,0,3,3,3.4,2.5,2.4,2.73,0,1,0,0,0,0,0,1,0,1999,11,11518089.0,11617382.0,2010,12,20863148
3773,3,802,150,1,1,3,3,1,1,1,2.9,4.0,3.5,3.52,0,0,1,0,0,0,1,0,0,1977,35,7473328.999999995,7560122.5,2012,10,12314642
6723,4,1692,145,2,1,4,1,0,1,2,2.6,2.4,4.3,3.02,0,0,1,0,0,0,1,0,0,1972,35,9273475.0,9267910.0,2007,15,19267319
3332,3,752,116,1,1,2,4,0,3,2,4.1,4.4,2.0,3.59,0,0,1,0,0,0,0,0,1,1973,40,7964573.999999995,8147505.0,2013,9,12639454
6412,6,1897,112,2,1,5,3,1,3,1,4.5,3.8,3.9,4.085,0,1,0,0,0,0,1,0,0,1968,43,12594247.000000019,12604105.0,2011,11,21557296
5714,5,2156,91,3,2,5,3,1,3,2,2.9,3.9,3.8,3.56,0,0,1,0,0,0,0,1,0,1995,15,13487958.000000019,13215969.0,2010,12,23733981
5755,4,1966,95,3,2,5,3,0,2,3,2.0,2.9,3.9,2.98,0,0,1,0,0,0,1,0,0,1997,14,12012774.999999989,11673423.0,2011,11,19965514
5448,5,1751,197,2,1,4,3,1,3,3,3.1,3.3,5.0,3.92,0,1,0,0,0,0,0,1,0,1981,30,11246721.999999987,11527920.0,2011,11,19716655
2188,3,940,50,1,1,3,1,0,3,2,4.3,3.2,3.3,3.56,1,0,0,0,0,0,0,1,0,1994,14,11870678.00000002,11339308.0,2008,14,22451054
447,5,1668,14,2,1,4,3,0,2,3,4.7,4.9,3.0,4.08,0,1,0,0,0,0,0,1,0,1997,11,10767832.000000004,10578171.0,2008,14,20944055
4983,3,1222,104,2,1,4,5,1,3,2,3.9,4.3,4.3,4.18,0,1,0,0,0,0,0,1,0,1999,13,10989888.000000002,10974054.0,2012,10,17875577
5051,4,1924,182,3,2,5,2,0,3,2,3.7,4.5,3.3,3.94,1,0,0,1,0,0,0,0,0,1961,46,13656356.000000002,14310981.0,2007,15,29751501
3260,3,885,32,1,1,3,3,0,3,2,4.5,2.9,2.5,3.26,1,0,0,0,0,0,1,0,0,1979,32,10491520.000000007,10578877.0,2011,11,18093469
4451,6,1989,156,2,1,5,5,0,1,1,3.2,4.8,4.4,4.08,0,0,1,0,0,0,1,0,0,2005,9,14158645.000000024,14643288.0,2014,8,21634805
513,6,1898,111,2,1,5,3,0,3,1,4.4,2.5,3.2,3.5032537884152344,0,0,1,0,0,0,0,0,1,1965,42,13916653.99999998,13967101.0,2007,15,29036599
7021,5,1678,111,2,1,4,1,0,3,2,3.3,4.3,3.9,3.84,1,0,0,0,0,0,0,0,1,1980,28,14994760.000000026,14866058.0,2008,14,29433777
4111,3,928,79,1,1,3,4,0,1,2,2.8,2.9,2.4,2.72,0,0,1,0,0,0,0,0,1,1972,38,8809963.999999998,8877657.0,2010,12,15942996
5253,4,1545,49,2,1,4,4,0,1,1,4.7,4.6,3.8,4.39,0,1,0,0,1,0,0,0,0,1992,17,6914767.000000001,7149539.0,2009,13,13481522
984,3,1073,163,1,1,3,5,1,3,2,4.0,5.0,3.5,4.25,0,0,1,0,0,0,1,0,0,1995,17,10044028.000000015,10125094.0,2012,10,16492711
1392,4,1508,54,2,1,4,1,0,1,2,4.7,5.0,3.7,4.54,0,1,0,0,0,1,0,0,0,1957,47,7235329.999999996,7241014.5,2004,18,17426364
2227,3,1196,116,1,1,3,3,0,2,3,3.5,4.5,4.3,3.5032537884152344,0,0,1,0,0,0,0,0,1,2002,5,11614086.999999996,11473892.0,2007,15,23853397
2534,1,1116,10,1,1,3,5,0,2,1,4.2,4.8,5.0,4.7,0,0,1,0,1,0,0,0,0,1990,20,5952817.999999995,5839086.0,2010,12,10486159
2036,6,1598,104,1,1,4,1,1,3,1,4.3,2.4,4.2,3.785,0,0,1,0,0,0,1,0,0,1972,39,11839786.000000013,12277565.0,2011,11,20998802
4597,6,1822,195,2,1,5,4,1,2,1,4.4,3.3,4.9,4.325,1,0,0,0,0,0,0,0,1,1997,12,22468426.999999978,22433660.0,2009,13,42302011
3316,4,1808,12,3,2,5,2,0,3,1,4.3,3.1,3.5,3.52,1,0,0,0,0,0,0,1,0,1955,55,14579316.999999987,14840221.0,2010,12,26650904
1287,6,1897,148,2,1,5,4,0,3,3,4.1,3.1,3.3,3.53,1,0,0,0,0,0,1,0,0,1990,17,21692407.99999997,21745024.0,2007,15,45206343
2031,4,1669,168,2,1,4,1,1,1,3,3.2,4.9,3.1,3.94,1,0,0,0,0,1,0,0,0,1961,45,14462270.99999998,14677766.0,2006,16,32039722
2241,3,1122,139,1,1,3,5,0,2,2,3.4,2.9,4.6,3.56,1,0,0,0,0,0,0,1,0,1985,28,13799877.999999998,13464940.0,2013,9,20888541
1554,1,1296,166,1,1,3,1,1,2,1,3.7,2.7,2.0,2.72,0,0,1,0,1,0,0,0,0,2000,11,6896799.0,7162703.5,2011,11,12250653
1885,3,1204,47,2,1,4,4,1,3,2,2.9,4.1,2.7,3.32,0,0,1,0,0,0,1,0,0,1986,20,10601303.999999993,10271681.0,2006,16,22421791
4078,1,1321,193,1,1,3,4,1,2,2,2.9,3.3,2.3,2.78,0,0,1,0,0,0,1,0,0,1991,18,9039017.999999994,8803120.0,2009,13,16599595
6451,2,936,110,1,1,3,1,1,2,3,4.5,4.9,2.1,3.38,0,0,1,0,1,0,0,0,0,1998,12,8912169.0,8796683.0,2010,12,15797578
4683,4,1863,58,3,2,5,3,0,2,1,3.4,4.6,2.2,3.58,0,0,1,1,0,0,0,0,0,1975,34,8240425.0,7978603.0,2009,13,15044845
3869,5,1824,143,3,2,5,3,0,3,2,4.1,3.1,4.0,3.76,1,0,0,0,0,0,0,1,0,2004,7,16029891.999999981,16183312.0,2011,11,27678955
6044,4,1700,113,2,1,4,4,1,1,1,2.0,2.2,2.9,2.36,1,0,0,0,0,0,0,1,0,1983,22,15244529.00000002,15446672.0,2005,17,35404055
994,1,1537,42,2,2,4,5,0,1,2,3.7,4.7,2.2,3.4,0,0,1,0,0,0,1,0,0,1984,25,8685700.000000004,8479800.0,2009,13,15989927
3178,1,1591,43,2,2,4,3,1,3,1,2.1,3.2,4.2,3.27,0,1,0,0,0,0,0,0,1,1966,45,9240924.999999983,9293879.0,2011,11,15895687
982,2,1293,136,2,2,4,5,0,3,1,3.1,3.2,3.4,3.27,0,1,0,0,0,0,1,0,0,2005,5,9477550.000000002,9133470.0,2010,12,16402399
1720,7,1538,32,1,1,4,2,1,1,2,4.9,3.4,3.0,3.67,1,0,0,0,0,0,1,0,0,1989,21,18601288.0,18438790.0,2010,12,33113417
6990,4,1960,21,3,2,5,4,1,3,3,2.5,2.8,4.4,3.21,1,0,0,1,0,0,0,0,0,1952,55,15262852.000000024,15851451.0,2007,15,32954028
3953,1,1209,9,1,1,3,1,0,2,1,4.1,3.3,2.4,3.18,0,0,1,0,0,0,0,1,0,1969,42,6948281.999999997,6776049.0,2011,11,11589343
6863,2,674,38,1,1,2,3,1,1,2,4.1,3.9,2.6,3.31,0,1,0,0,0,0,1,0,0,1971,39,7266522.999999998,7258063.5,2010,12,13034439
5551,4,1686,177,2,1,4,1,0,3,1,3.3,4.1,4.3,3.96,1,0,0,0,0,0,0,1,0,1982,26,14156380.000000006,14118701.0,2008,14,27954062
2311,4,1605,16,2,1,4,1,0,1,2,3.1,4.6,2.3,3.54,1,0,0,0,1,0,0,0,0,1978,26,12284178.000000019,12374331.0,2004,18,29780302
3886,5,1571,1,2,1,4,5,1,3,2,2.7,4.4,4.7,4.01,0,0,1,0,0,0,0,0,1,1998,11,12254580.000000013,12381862.0,2009,13,23347847
2605,1,881,29,1,1,2,2,0,3,2,2.1,4.2,4.2,3.57,1,0,0,1,0,0,0,0,0,1964,47,5834146.000000003,5483660.5,2011,11,9378920
1988,3,1003,47,1,1,3,3,1,3,1,4.6,3.4,3.0,3.64,0,0,1,0,0,0,0,0,1,1998,12,10188790.000000013,10228299.0,2010,12,18368555
5497,5,2333,18,4,2,6,3,1,3,3,4.2,3.8,4.1,4.04,0,0,1,0,0,0,0,0,1,1989,20,15209576.000000022,15196900.0,2009,13,28656021
299,4,1728,123,2,1,4,4,1,1,3,4.0,2.6,2.8,3.01,1,0,0,0,0,1,0,0,0,1990,19,15643404.000000017,15661995.0,2009,13,29533027
2545,3,743,72,1,1,2,4,0,1,1,3.6,2.0,4.4,3.2,0,1,0,0,0,0,1,0,0,1969,38,5517149.999999998,5570260.0,2007,15,11580170
6277,7,1885,113,2,1,5,4,0,1,1,2.4,4.0,3.5,3.295,1,0,0,0,0,0,0,0,1,1993,21,21777234.000000022,21697256.0,2014,8,32056728
3810,3,1021,4,1,1,3,3,1,2,3,3.7,3.8,3.8,3.77,0,1,0,0,0,0,1,0,0,1993,16,9777519.999999994,9494191.0,2009,13,17902713
3473,3,768,9,1,1,2,1,0,3,1,3.8,4.1,5.0,4.28,0,0,1,0,0,0,0,1,0,1977,31,6865579.000000003,6870532.0,2008,14,13603183
219,6,1694,86,1,1,4,4,0,3,2,2.6,2.5,2.4,2.495,0,0,1,0,0,0,0,1,0,1982,27,13166035.000000007,12961807.0,2009,13,24441420
6464,3,960,116,1,1,3,3,0,1,2,4.5,3.2,5.0,4.13,0,0,1,0,0,0,1,0,0,1999,11,8319060.9999999935,8393854.0,2010,12,15074155
3665,3,1230,81,2,1,4,3,0,2,2,2.6,3.6,3.2,3.18,1,0,0,0,0,0,0,1,0,2000,7,14603074.000000007,14620292.0,2007,15,30394537
5692,2,640,120,1,1,2,5,1,1,1,4.4,4.3,2.4,3.38,1,0,0,0,0,1,0,0,0,1977,29,9176092.000000004,9460966.0,2006,16,20652102
5517,1,1327,124,1,1,3,4,1,3,3,4.1,4.1,2.0,3.26,1,0,0,1,0,0,0,0,0,1990,20,10548362.000000015,9953813.0,2010,12,17875618
2991,6,1796,120,1,1,4,5,0,3,3,4.9,2.2,4.3,3.985,0,0,1,0,0,0,1,0,0,1981,26,14044568.999999976,14276738.0,2007,15,29680312
6113,5,2346,36,4,2,6,3,1,3,3,4.3,2.9,3.5,3.56,0,1,0,0,0,0,0,1,0,1996,14,13506040.999999989,13605820.0,2010,12,24434097
6021,6,1892,123,2,1,5,2,0,2,1,4.6,3.7,4.1,4.175,0,0,1,0,0,0,1,0,0,2006,5,13815340.999999998,13872610.0,2011,11,23726870
634,2,1022,129,1,1,3,5,0,3,3,2.1,4.4,2.4,2.71,0,1,0,0,0,0,1,0,0,1998,10,9433844.999999998,9160879.0,2008,14,18137913
2243,3,849,132,1,1,3,4,0,3,2,2.3,2.4,4.0,2.85,0,0,1,0,0,0,1,0,0,1979,32,7336515.000000004,7450832.5,2011,11,12743452
5183,7,1745,189,1,1,4,2,0,1,2,2.2,2.7,3.2,2.775,0,0,1,0,0,0,1,0,0,1992,19,12795680.99999998,12742490.0,2011,11,21793982
3244,3,1300,73,2,1,4,5,0,2,1,3.0,3.3,2.8,3.06,1,0,0,0,0,0,0,1,0,2001,7,15012941.000000019,14637564.0,2008,14,28981375
4388,2,897,135,1,1,3,2,0,1,3,2.4,4.7,4.7,4.01,1,0,0,0,0,1,0,0,0,1985,27,10977268.000000002,11260533.0,2012,10,18342221
6405,4,1973,171,3,2,5,4,0,3,1,2.0,5.0,4.6,4.13,1,0,0,0,0,0,0,0,1,1997,8,17266683.00000003,17297604.0,2005,17,39646425
2198,1,1467,127,2,2,4,2,1,1,1,2.6,3.0,2.0,2.48,0,1,0,1,0,0,0,0,0,1994,15,6044886.999999997,6132547.5,2009,13,11563832
2951,1,1697,58,2,2,4,2,0,3,2,3.6,4.3,2.5,3.37,1,0,0,0,0,1,0,0,0,1967,43,11644365.000000002,11584921.0,2010,12,20804853
1610,2,870,5,1,1,3,3,1,2,2,2.9,3.2,2.6,2.81,1,0,0,0,0,1,0,0,0,1975,34,11566560.999999985,11588037.0,2009,13,21850972
4974,3,973,148,1,1,3,4,0,2,2,4.2,4.7,2.0,3.74,1,0,0,0,0,0,0,1,0,2006,8,12632999.999999998,12417551.0,2014,8,18346378
5505,7,1685,20,1,1,4,5,1,3,2,2.1,3.1,2.7,2.62,1,0,0,0,0,0,0,1,0,1969,43,20771495.999999985,20667172.0,2012,10,33664645
305,1,1342,183,2,2,4,3,1,1,1,4.8,2.9,2.2,3.19,1,0,0,0,0,1,0,0,0,1967,43,10093152.00000001,10263534.0,2010,12,18431832
901,5,2271,46,4,2,6,5,0,3,2,3.9,4.2,3.1,3.67,1,0,0,0,0,0,0,0,1,1995,14,19450908.000000004,19446810.0,2009,13,36669860
2292,6,1804,69,2,1,5,4,1,2,3,2.2,2.8,2.6,2.51,0,1,0,0,0,0,0,0,1,1987,24,15189226.999999983,15017387.0,2011,11,25684828
6468,3,715,39,1,1,2,4,1,3,1,3.0,4.5,4.1,3.93,0,1,0,0,0,0,0,1,0,1981,27,7628761.9999999935,7412751.5,2008,14,14676740
4937,4,1632,22,2,1,4,2,1,2,3,4.8,4.2,3.0,3.99,0,0,1,0,1,0,0,0,0,1992,13,10470649.999999989,10203494.0,2005,17,23386595
2847,2,887,7,1,1,3,3,1,1,2,2.7,2.6,3.8,3.23,1,0,0,0,0,1,0,0,0,1997,9,11984230.99999999,11773217.0,2006,16,25699456
4579,7,1850,74,2,1,5,5,1,3,2,2.5,4.8,4.0,3.75,1,0,0,0,0,0,0,1,0,1985,22,22931416.999999996,22955630.0,2007,15,47723106
968,5,1823,69,3,2,5,1,0,3,3,3.5,4.0,4.9,4.21,0,0,1,0,0,0,0,1,0,1989,22,11210685.999999981,11782562.0,2011,11,20152179
5029,2,1275,120,2,2,4,3,1,1,2,3.2,3.4,4.4,3.84,0,0,1,1,0,0,0,0,0,1988,24,9274492.999999985,9398358.0,2012,10,15308934
7012,4,1775,106,2,1,4,2,0,3,3,2.1,3.2,2.6,2.75,0,1,0,0,0,1,0,0,0,1981,27,9173198.999999993,9465586.0,2008,14,18741212
6663,3,1290,168,2,1,4,1,0,3,2,5.0,2.2,4.6,3.76,0,0,1,0,0,0,1,0,0,2004,9,9779765.99999999,9331393.0,2013,9,14476053
5451,1,675,131,1,1,2,5,1,1,2,2.6,4.6,2.8,3.28,1,0,0,1,0,0,0,0,0,1980,30,6314980.999999999,6571638.0,2010,12,11801717
6815,4,1923,5,3,2,5,5,0,3,1,2.6,2.6,2.8,2.66,0,0,1,0,0,0,1,0,0,2003,8,10720568.999999989,10611979.0,2011,11,18150085
1216,4,1954,131,3,2,5,4,1,2,3,4.9,2.4,4.8,3.75,0,1,0,0,1,0,0,0,0,1981,27,10557550.0,10165072.0,2008,14,20126147
4639,4,1540,112,2,1,4,3,0,2,2,4.0,3.8,2.6,3.49,1,0,0,0,0,0,0,0,1,1985,22,14969157.000000017,14938283.0,2007,15,31055617
